col_1,col_2,col_3,nom_commune,longitude,latitude
saint-just-01,SAINT-JUST,saint just,Saint-Just,5.28,46.1903
civrieux,CIVRIEUX,civrieux,Civrieux,4.88333,45.9167
argis,ARGIS,argis,Argis,5.48333,45.9333
talissieu,TALISSIEU,talissieu,Talissieu,5.71667,45.8667
birieux,BIRIEUX,birieux,Birieux,5.03333,45.95
saint-julien-sur-veyle,SAINT-JULIEN-SUR-VEYLE,saint julien sur veyle,Saint-Julien-sur-Veyle,4.95,46.2
thoiry-01,THOIRY,thoiry,Thoiry,5.97973,46.2364
laiz,LAIZ,laiz,Laiz,4.88333,46.25
cressin-rochefort,CRESSIN-ROCHEFORT,cressin rochefort,Cressin-Rochefort,5.76667,45.7667
saint-champ,SAINT-CHAMP,saint champ,Saint-Champ,5.73333,45.7833
saint-georges-sur-renon,SAINT-GEORGES-SUR-RENON,saint georges sur renon,Saint-Georges-sur-Renon,5.03333,46.1
lantenay-01,LANTENAY,lantenay,Lantenay,5.53333,46.05
vernoux,VERNOUX,vernoux,Vernoux,5.11667,46.4833
cormaranche-en-bugey,CORMARANCHE-EN-BUGEY,cormaranche en bugey,Cormaranche-en-Bugey,5.6,45.95
sainte-euphemie,SAINTE-EUPHEMIE,sainte euphemie,Sainte-Euphémie,4.78333,45.9667
beaupont,BEAUPONT,beaupont,Beaupont,5.26667,46.4
brens-01,BRENS,brens,Brens,5.69473,45.7187
ramasse,RAMASSE,ramasse,Ramasse,5.35,46.2
divonne-les-bains,DIVONNE-LES-BAINS,divonne les bains,Divonne-les-Bains,6.13333,46.3667
leaz,LEAZ,leaz,Léaz,5.88333,46.1
villes,VILLES,villes,Villes,5.78333,46.0833
saint-julien-sur-reyssouze,SAINT-JULIEN-SUR-REYSSOUZE,saint julien sur reyssouze,Saint-Julien-sur-Reyssouze,5.11667,46.4
groslee,GROSLEE,groslee,Groslée,5.56667,45.7167
vandeins,VANDEINS,vandeins,Vandeins,5.08333,46.2167
verjon,VERJON,verjon,Verjon,5.35,46.35
saint-andre-sur-vieux-jonc,SAINT-ANDRE-SUR-VIEUX-JONC,saint andre sur vieux jonc,Saint-André-sur-Vieux-Jonc,5.06667,46.15
saint-andre-d-huiriat,SAINT-ANDRE-D'HUIRIAT,saint andre d huiriat,Saint-André-d'Huiriat,4.91667,46.2167
grilly,GRILLY,grilly,Grilly,6.11667,46.3333
cessy,CESSY,cessy,Cessy,6.06667,46.3167
ordonnaz,ORDONNAZ,ordonnaz,Ordonnaz,5.53333,45.8333
vescours,VESCOURS,vescours,Vescours,5.03333,46.4667
meillonnas,MEILLONNAS,meillonnas,Meillonnas,5.35,46.25
geovreisset,GEOVREISSET,geovreisset,Géovreisset,5.6,46.25
ceyzerieu,CEYZERIEU,ceyzerieu,Ceyzérieu,5.73333,45.8333
beard-geovreissiat,BEARD-GEOVREISSIAT,beard geovreissiat,Béard-Géovreissiat,5.56667,46.2
burbanche,LA BURBANCHE,la burbanche,La Burbanche,5.56667,45.85
perrex,PERREX,perrex,Perrex,4.98333,46.2333
villemotier,VILLEMOTIER,villemotier,Villemotier,5.31667,46.35
jasseron,JASSERON,jasseron,Jasseron,5.33333,46.2167
corveissiat,CORVEISSIAT,corveissiat,Corveissiat,5.48333,46.2333
journans,JOURNANS,journans,Journans,5.33333,46.15
sermoyer,SERMOYER,sermoyer,Sermoyer,4.98333,46.5
charix,CHARIX,charix,Charix,5.68333,46.1833
arbignieu,ARBIGNIEU,arbignieu,Arbignieu,5.65,45.7333
leyssard,LEYSSARD,leyssard,Leyssard,5.46667,46.1667
saint-jean-de-thurigneux,SAINT-JEAN-DE-THURIGNEUX,saint jean de thurigneux,Saint-Jean-de-Thurigneux,4.88333,45.95
frans,FRANS,frans,Frans,4.78333,45.9833
tenay,TENAY,tenay,Tenay,5.5,45.9167
bage-la-ville,BAGE-LA-VILLE,bage la ville,Bâgé-la-Ville,4.95,46.3167
montmerle-sur-saone,MONTMERLE-SUR-SAONE,montmerle sur saone,Montmerle-sur-Saône,4.76667,46.0833
courmangoux,COURMANGOUX,courmangoux,Courmangoux,5.36667,46.3333
baneins,BANEINS,baneins,Baneins,4.9,46.1167
lagnieu,LAGNIEU,lagnieu,Lagnieu,5.35,45.9
attignat,ATTIGNAT,attignat,Attignat,5.16667,46.2833
saint-andre-de-bage,SAINT-ANDRE-DE-BAGE,saint andre de bage,Saint-André-de-Bâgé,4.91667,46.3
pont-de-vaux,PONT-DE-VAUX,pont de vaux,Pont-de-Vaux,4.93333,46.4333
amberieu-en-bugey,AMBERIEU-EN-BUGEY,amberieu en bugey,Ambérieu-en-Bugey,5.35,45.95
peyzieux-sur-saone,PEYZIEUX-SUR-SAONE,peyzieux sur saone,Peyzieux-sur-Saône,4.81667,46.1167
crozet-01,CROZET,crozet,Crozet,6.01251,46.2806
seyssel-01,SEYSSEL,seyssel,Seyssel,5.83194,45.9597
beynost,BEYNOST,beynost,Beynost,5,45.8333
versonnex-01,VERSONNEX,versonnex,Versonnex,6.09723,46.3023
saint-laurent-sur-saone,SAINT-LAURENT-SUR-SAONE,saint laurent sur saone,Saint-Laurent-sur-Saône,4.83333,46.3
artemare,ARTEMARE,artemare,Artemare,5.7,45.8667
montracol,MONTRACOL,montracol,Montracol,5.11667,46.1833
parves,PARVES,parves,Parves,5.75,45.75
pugieu,PUGIEU,pugieu,Pugieu,5.65,45.8167
virieu-le-grand,VIRIEU-LE-GRAND,virieu le grand,Virieu-le-Grand,5.65,45.85
saint-remy-01,SAINT-REMY,saint remy,Saint-Rémy,5.16667,46.1833
rance,RANCE,rance,Rancé,4.86667,45.9667
grieges,GRIEGES,grieges,Grièges,4.85,46.25
grand-corent,GRAND-CORENT,grand corent,Grand-Corent,5.43333,46.2
outriaz,OUTRIAZ,outriaz,Outriaz,5.55,46.0667
montagnieu-01,MONTAGNIEU,montagnieu,Montagnieu,5.46667,45.8
champagne-en-valromey,CHAMPAGNE-EN-VALROMEY,champagne en valromey,Champagne-en-Valromey,5.68333,45.9
amberieux-en-dombes,AMBERIEUX-EN-DOMBES,amberieux en dombes,Ambérieux-en-Dombes,4.9,46
boisse-01,LA BOISSE,la boisse,La Boisse,5.03333,45.85
parcieux,PARCIEUX,parcieux,Parcieux,4.81667,45.9167
saint-didier-d-aussiat,SAINT-DIDIER-D'AUSSIAT,saint didier d aussiat,Saint-Didier-d'Aussiat,5.06667,46.3
saint-nizier-le-bouchoux,SAINT-NIZIER-LE-BOUCHOUX,saint nizier le bouchoux,Saint-Nizier-le-Bouchoux,5.15,46.45
ars-sur-formans,ARS-SUR-FORMANS,ars sur formans,Ars-sur-Formans,4.81667,45.9833
anglefort,ANGLEFORT,anglefort,Anglefort,5.80833,45.9167
corlier,CORLIER,corlier,Corlier,5.5,46.0333
ferney-voltaire,FERNEY-VOLTAIRE,ferney voltaire,Ferney-Voltaire,6.11667,46.25
saint-maurice-de-remens,SAINT-MAURICE-DE-REMENS,saint maurice de remens,Saint-Maurice-de-Rémens,5.28333,45.95
chatillon-la-palud,CHATILLON-LA-PALUD,chatillon la palud,Châtillon-la-Palud,5.25,45.9667
saint-sulpice-01,SAINT-SULPICE,saint sulpice,Saint-Sulpice,5.04167,46.3203
saint-bois,SAINT-BOIS,saint bois,Saint-Bois,5.63333,45.7
virignin,VIRIGNIN,virignin,Virignin,5.71667,45.7167
premillieu,PREMILLIEU,premillieu,Prémillieu,5.56667,45.8667
genouilleux,GENOUILLEUX,genouilleux,Genouilleux,4.78333,46.1167
reyssouze,REYSSOUZE,reyssouze,Reyssouze,4.91667,46.4333
collonges,COLLONGES,collonges,Collonges,5.9,46.1333
saint-germain-de-joux,SAINT-GERMAIN-DE-JOUX,saint germain de joux,Saint-Germain-de-Joux,5.73333,46.1833
bregnier-cordon,BREGNIER-CORDON,bregnier cordon,Brégnier-Cordon,5.61667,45.65
saint-martin-le-chatel,SAINT-MARTIN-LE-CHATEL,saint martin le chatel,Saint-Martin-le-Châtel,5.11667,46.2833
marignieu,MARIGNIEU,marignieu,Marignieu,5.71667,45.8
neyrolles,LES NEYROLLES,les neyrolles,Neyrolles,5.63333,46.1333
sulignat,SULIGNAT,sulignat,Sulignat,4.96667,46.1667
beny,BENY,beny,Bény,5.28333,46.3333
injoux-genissiat,INJOUX-GENISSIAT,injoux genissiat,Injoux-Génissiat,5.78333,46.05
chanay,CHANAY,chanay,Chanay,5.78333,46
chatillon-sur-chalaronne,CHATILLON-SUR-CHALARONNE,chatillon sur chalaronne,Châtillon-sur-Chalaronne,4.96667,46.1167
farges-01,FARGES,farges,Farges,5.91667,46.1667
saint-alban-01,SAINT-ALBAN,saint alban,Saint-Alban,5.45,46.1
curtafond,CURTAFOND,curtafond,Curtafond,5.08333,46.2667
viriat,VIRIAT,viriat,Viriat,5.21667,46.25
belleydoux,BELLEYDOUX,belleydoux,Belleydoux,5.76667,46.25
bage-le-chatel,BAGE-LE-CHATEL,bage le chatel,Bâgé-le-Châtel,4.93333,46.3
sainte-olive,SAINTE-OLIVE,sainte olive,Sainte-Olive,4.93333,46.0167
saint-genis-sur-menthon,SAINT-GENIS-SUR-MENTHON,saint genis sur menthon,Saint-Genis-sur-Menthon,5.01667,46.2833
domsure,DOMSURE,domsure,Domsure,5.3,46.4167
chavannes-sur-suran,CHAVANNES-SUR-SURAN,chavannes sur suran,Chavannes-sur-Suran,5.41667,46.2667
priay,PRIAY,priay,Priay,5.28333,46
peyrieu,PEYRIEU,peyrieu,Peyrieu,5.67751,45.6767
lalleyriat,LALLEYRIAT,lalleyriat,Lalleyriat,5.71667,46.15
sergy-01,SERGY,sergy,Sergy,6,46.25
saint-martin-du-frene,SAINT-MARTIN-DU-FRENE,saint martin du frene,Saint-Martin-du-Frêne,5.55,46.1333
saint-maurice-de-beynost,SAINT-MAURICE-DE-BEYNOST,saint maurice de beynost,Saint-Maurice-de-Beynost,4.96667,45.8333
servas-01,SERVAS,servas,Servas,5.16667,46.1333
cuzieu-01,CUZIEU,cuzieu,Cuzieu,5.67445,45.8192
jayat,JAYAT,jayat,Jayat,5.11667,46.3667
lavours,LAVOURS,lavours,Lavours,5.76667,45.8
chevroux,CHEVROUX,chevroux,Chevroux,4.95,46.3833
pollieu,POLLIEU,pollieu,Pollieu,5.75,45.8
beligneux,BELIGNEUX,beligneux,Béligneux,5.11667,45.8667
brenaz,BRENAZ,brenaz,Brénaz,5.71667,45.95
benonces,BENONCES,benonces,Bénonces,5.48333,45.8333
saint-jean-le-vieux-01,SAINT-JEAN-LE-VIEUX,saint jean le vieux,Saint-Jean-le-Vieux,5.38917,46.0284
beauregard-01,BEAUREGARD,beauregard,Beauregard,4.75139,46.002
oyonnax,OYONNAX,oyonnax,Oyonnax,5.66667,46.25
