nom_com,nom_com_m,insee_com,statut,population,insee_arr,insee_dep,insee_reg,code_epci,X_COORD,Y_COORD,latitude,longitude
Jeu-Maloches,JEU-MALOCHES,36090,Commune simple,127,2,36,24,200040558,581737.032414,6661973.03764,47.036791,1.459319
Hermanville,HERMANVILLE,76356,Commune simple,116,1,76,28,200068534,555088.113726,6970933.84938,49.819069,0.988039
Campagne,CAMPAGNE,24076,Commune simple,380,4,24,75,200041168,540377.47251,6424099.046,44.893155,0.953657
Languédias,LANGUEDIAS,22104,Commune simple,515,1,22,53,200068989,314918.706321,6823002.44697,48.399068,-2.227274
Liorac-sur-Louyre,LIORAC-SUR-LOUYRE,24242,Commune simple,245,1,24,75,200034833,513810.081226,6424614.88862,44.896889,0.625462
Ferrette,FERRETTE,68090,Commune simple,729,1,68,44,200066041,1024798.27646,6719261.17688,47.49728,7.31088
Baverans,BAVERANS,39042,Commune simple,500,1,39,27,200010650,892334.1310929998,6670393.3711,47.106489,5.539032
Kœtzingue,KŒTZINGUE,68170,Commune simple,600,4,68,44,200066058,1029587.01742,6736767.95299,47.648706,7.39192
Geispitzen,GEISPITZEN,68103,Commune simple,449,4,68,44,200066058,1032834.99486,6739692.8075,47.668075,7.424708
Jonquerettes,JONQUERETTES,84055,Commune simple,1507,2,84,93,248400251,856051.238831,6318672.96212,43.950148,4.939408
Bruebach,BRUEBACH,68055,Commune simple,1061,4,68,44,200066009,1026749.07362,6742350.17842,47.704132,7.356965
Knœringue,KNŒRINGUE,68168,Commune simple,381,4,68,44,200066058,1030813.77119,6727364.6365,47.561969,7.405484
Ligsdorf,LIGSDORF,68186,Commune simple,311,1,68,44,200066041,1023822.89574,6716142.65443,47.47268,7.312143
Souraïde,SOURAIDE,64527,Commune simple,1400,1,64,75,200067106,336022.270096,6259823.62441,43.335727,-1.48131
Vesvres,VESVRES,21672,Commune simple,27,3,21,27,200071017,815370.801711,6698484.3577,47.376285,4.530565
Avessé,AVESSE,72019,Commune simple,375,1,72,52,200040475,456190.611436,6766982.3143,47.951687,-0.255094
Serémange-Erzange,SEREMANGE-ERZANGE,57647,Commune simple,4273,7,57,44,245701222,924811.658828,6918149.25369,49.327762,6.083165
Sourniac,SOURNIAC,15230,Commune simple,201,2,15,84,241500271,647865.002893,6464240.04966,45.275643,2.34006
Chaumont,CHAUMONT,61103,Commune simple,177,3,61,28,200069458,504655.97987,6863775.96895,48.855436,0.324198
Brignancourt,BRIGNANCOURT,95110,Commune simple,206,3,95,11,200035970,622927.355939,6893807.52956,49.136157,1.944286
Youx,YOUX,63471,Commune simple,915,4,63,84,200072080,684871.416989,6560105.31427,46.161625,2.806341
Bréziers,BREZIERS,05022,Commune simple,230,2,05,93,200067320,956568.480051,6374341.45384,44.426309,6.199838
Courtois-sur-Yonne,COURTOIS-SUR-YONNE,89127,Commune simple,769,3,89,27,248900334,718486.147217,6792173.23205,48.230126,3.253336
Saint-Genis-du-Bois,SAINT-GENIS-DU-BOIS,33409,Commune simple,89,3,33,75,200069599,447863.28713,6405165.00514,44.067719,4.752559
Seppois-le-Haut,SEPPOIS-LE-HAUT,68306,Commune simple,511,1,68,44,200066033,1015014.63745,6722750.04041,47.532391,7.18304
Charleville,CHARLEVILLE,51129,Commune simple,238,2,51,44,245100888,748359.422809,6855942.02318,48.790197,3.638826
Villeperdrix,VILLEPERDRIX,26376,Commune simple,118,2,26,84,200068229,882956.065303,6375613.96751,44.441344,5.286815
Miélan,MIELAN,32252,Commune simple,1139,3,32,76,243200425,482180.063183,6262583.44762,43.430953,0.306526
Bourgnac,BOURGNAC,24059,Commune simple,343,3,24,75,200069094,495084.50265,6438704.09297,45.013311,0.40169
Cagnes-sur-Mer,CAGNES-SUR-MER,06027,Commune simple,50928,1,06,93,200030195,1034809.71325,6294712.26035,43.691597,7.144144
Prunelli-di-Fiumorbo,PRUNELLI-DI-FIUMORBO,2B251,Commune simple,3660,3,2B,94,200033827,1228007.62225,6122048.03084,42.005814,9.36588
Rosans,ROSANS,05126,Commune simple,468,2,05,93,200068765,895993.81223,6369898.41691,44.39071,5.470745
Lonzac,LONZAC,17209,Commune simple,271,1,17,75,200041523,435343.254875,6504793.97298,45.595196,-0.395243
